Order At;Order ID;Produk;Provinsi;Harga Produksi;Harga Satuan;Profit;Qty;Total Harga;Zero
22/06/2022;3695;Gantungan Kunci;Nusa Tenggara Barat;5000;10000;5000;1;10000;0
01/09/2022;3867;Gantungan Kunci;Nusa Tenggara Barat;5000;10000;5000;1;10000;0
11/05/2022;4915;Gantungan Kunci;Nusa Tenggara Timur;5000;10000;5000;1;10000;0
02/08/2022;4416;Gantungan Kunci;Nusa Tenggara Timur;5000;10000;5000;1;10000;0
02/12/2022;3814;Gantungan Kunci;Nusa Tenggara Timur;5000;10000;5000;1;10000;0
03/06/2022;2575;Gantungan Kunci;Papua;5000;10000;5000;1;10000;0
06/08/2022;2466;Gantungan Kunci;Papua;5000;10000;5000;1;10000;0
17/09/2022;4878;Gantungan Kunci;Papua;5000;10000;5000;1;10000;0
19/01/2022;2808;Gantungan Kunci;Papua Barat;5000;10000;5000;1;10000;0
11/02/2022;2225;Gantungan Kunci;Papua Barat;5000;10000;5000;1;10000;0
31/05/2022;3029;Gantungan Kunci;Papua Barat;5000;10000;5000;1;10000;0
20/09/2022;1552;Gantungan Kunci;Papua Barat;5000;10000;5000;1;10000;0
01/11/2022;2887;Gantungan Kunci;Papua Barat;5000;10000;5000;1;10000;0
30/01/2022;2551;Gantungan Kunci;Papua Barat Daya;5000;10000;5000;1;10000;0
16/03/2022;4521;Gantungan Kunci;Papua Barat Daya;5000;10000;5000;1;10000;0
30/09/2022;1218;Gantungan Kunci;Papua Barat Daya;5000;10000;5000;1;10000;0
26/11/2022;4032;Gantungan Kunci;Papua Barat Daya;5000;10000;5000;1;10000;0
02/03/2022;2050;Gantungan Kunci;Papua Pegunungan;5000;10000;5000;1;10000;0
21/06/2022;3349;Gantungan Kunci;Papua Selatan;5000;10000;5000;1;10000;0
17/07/2022;3480;Gantungan Kunci;Papua Selatan;5000;10000;5000;1;10000;0
16/09/2022;4482;Gantungan Kunci;Papua Selatan;5000;10000;5000;1;10000;0
08/03/2022;2509;Gantungan Kunci;Papua Tengah;5000;10000;5000;1;10000;0
30/03/2022;2026;Gantungan Kunci;Papua Tengah;5000;10000;5000;1;10000;0
11/05/2022;1198;Gantungan Kunci;Papua Tengah;5000;10000;5000;1;10000;0
07/06/2022;3544;Gantungan Kunci;Papua Tengah;5000;10000;5000;1;10000;0
18/04/2022;1328;Gantungan Kunci;Sulawesi Barat;5000;10000;5000;1;10000;0
27/01/2022;4960;Gantungan Kunci;Sulawesi Selatan;5000;10000;5000;1;10000;0
03/03/2022;4349;Gantungan Kunci;Sulawesi Selatan;5000;10000;5000;1;10000;0
07/05/2022;3674;Gantungan Kunci;Sulawesi Selatan;5000;10000;5000;1;10000;0
05/06/2022;4940;Gantungan Kunci;Sulawesi Tenggara;5000;10000;5000;1;10000;0
02/09/2022;1107;Gantungan Kunci;Sulawesi Tenggara;5000;10000;5000;1;10000;0
25/10/2022;1461;Gantungan Kunci;Sulawesi Utara;5000;10000;5000;1;10000;0
04/08/2022;3699;Gantungan Kunci;Sumatera Barat;5000;10000;5000;1;10000;0
29/10/2022;2251;Gantungan Kunci;Sumatera Barat;5000;10000;5000;1;10000;0
19/05/2022;2065;Gantungan Kunci;Sumatera Selatan;5000;10000;5000;1;10000;0
19/06/2022;4439;Gantungan Kunci;Sumatera Selatan;5000;10000;5000;1;10000;0
04/04/2022;1313;Gantungan Kunci;Sumatera Utara;5000;10000;5000;1;10000;0
21/04/2022;1300;Gantungan Kunci;Sumatera Utara;5000;10000;5000;1;10000;0
14/12/2022;3255;Gantungan Kunci;Sumatera Utara;5000;10000;5000;1;10000;0
20/08/2022;4026;Sticker;Bali;5000;10000;5000;1;10000;0
26/11/2022;2813;Sticker;Bali;5000;10000;5000;1;10000;0
28/11/2022;4303;Sticker;Bali;5000;10000;5000;1;10000;0
26/09/2022;4167;Sticker;Bangka Belitung;5000;10000;5000;1;10000;0
21/03/2022;1939;Sticker;Banten;5000;10000;5000;1;10000;0
07/06/2022;3400;Sticker;Banten;5000;10000;5000;1;10000;0
06/04/2022;4105;Sticker;Bengkulu;5000;10000;5000;1;10000;0
11/09/2022;4115;Sticker;Bengkulu;5000;10000;5000;1;10000;0
28/09/2022;4387;Sticker;Bengkulu;5000;10000;5000;1;10000;0
13/04/2022;2018;Sticker;DKI Jakarta;5000;10000;5000;1;10000;0
25/06/2022;1401;Sticker;DKI Jakarta;5000;10000;5000;1;10000;0
27/07/2022;1405;Sticker;DKI Jakarta;5000;10000;5000;1;10000;0
18/08/2022;2376;Sticker;DKI Jakarta;5000;10000;5000;1;10000;0
15/10/2022;4062;Sticker;DKI Jakarta;5000;10000;5000;1;10000;0
05/09/2022;1096;Sticker;Daerah Istimewa Yogyakarta;5000;10000;5000;1;10000;0
08/07/2022;3735;Sticker;Gorontalo;5000;10000;5000;1;10000;0
25/08/2022;3550;Sticker;Gorontalo;5000;10000;5000;1;10000;0
05/12/2022;4725;Sticker;Gorontalo;5000;10000;5000;1;10000;0
09/12/2022;2736;Sticker;Jawa Barat;5000;10000;5000;1;10000;0
23/02/2022;2409;Sticker;Jawa Tengah;5000;10000;5000;1;10000;0
27/02/2022;2299;Sticker;Jawa Tengah;5000;10000;5000;1;10000;0
12/12/2022;1869;Sticker;Jawa Tengah;5000;10000;5000;1;10000;0
17/04/2022;2942;Sticker;Jawa Timur;5000;10000;5000;1;10000;0
24/04/2022;2961;Sticker;Kalimantan Selatan;5000;10000;5000;1;10000;0
11/08/2022;3244;Sticker;Kalimantan Timur;5000;10000;5000;1;10000;0
06/02/2022;4995;Sticker;Kalimantan Utara;5000;10000;5000;1;10000;0
04/04/2022;3034;Sticker;Kalimantan Utara;5000;10000;5000;1;10000;0
10/04/2022;2359;Sticker;Kalimantan Utara;5000;10000;5000;1;10000;0
18/04/2022;3655;Sticker;Kalimantan Utara;5000;10000;5000;1;10000;0
03/06/2022;2637;Sticker;Kalimantan Utara;5000;10000;5000;1;10000;0
01/11/2022;3366;Sticker;Kalimantan Utara;5000;10000;5000;1;10000;0
09/01/2022;2130;Sticker;Kepulauan Riau;5000;10000;5000;1;10000;0
16/01/2022;1795;Sticker;Kepulauan Riau;5000;10000;5000;1;10000;0
13/10/2022;3524;Sticker;Kepulauan Riau;5000;10000;5000;1;10000;0
13/05/2022;1153;Sticker;Lampung;5000;10000;5000;1;10000;0
19/03/2022;3242;Sticker;Maluku;5000;10000;5000;1;10000;0
08/03/2022;2304;Sticker;Maluku Utara;5000;10000;5000;1;10000;0
09/11/2022;2610;Sticker;Maluku Utara;5000;10000;5000;1;10000;0
02/01/2022;1206;Sticker;Nanggroe Aceh Darussalam;5000;10000;5000;1;10000;0
14/03/2022;1876;Sticker;Nanggroe Aceh Darussalam;5000;10000;5000;1;10000;0
01/09/2022;2694;Sticker;Nanggroe Aceh Darussalam;5000;10000;5000;1;10000;0
17/09/2022;3338;Sticker;Nanggroe Aceh Darussalam;5000;10000;5000;1;10000;0
02/01/2022;4098;Sticker;Nusa Tenggara Barat;5000;10000;5000;1;10000;0
27/11/2022;4232;Sticker;Nusa Tenggara Barat;5000;10000;5000;1;10000;0
09/01/2022;4176;Sticker;Papua;5000;10000;5000;1;10000;0
27/01/2022;3035;Sticker;Papua;5000;10000;5000;1;10000;0
13/04/2022;2888;Sticker;Papua;5000;10000;5000;1;10000;0
30/08/2022;3076;Sticker;Papua;5000;10000;5000;1;10000;0
13/12/2022;2392;Sticker;Papua;5000;10000;5000;1;10000;0
25/03/2022;2092;Sticker;Papua Barat;5000;10000;5000;1;10000;0
11/09/2022;3401;Sticker;Papua Barat;5000;10000;5000;1;10000;0
30/05/2022;2282;Sticker;Papua Barat Daya;5000;10000;5000;1;10000;0
11/01/2022;4317;Sticker;Papua Pegunungan;5000;10000;5000;1;10000;0
26/11/2022;3090;Sticker;Papua Pegunungan;5000;10000;5000;1;10000;0
10/11/2022;4366;Sticker;Papua Selatan;5000;10000;5000;1;10000;0
18/12/2022;3410;Sticker;Papua Selatan;5000;10000;5000;1;10000;0
27/03/2022;3063;Sticker;Papua Tengah;5000;10000;5000;1;10000;0
24/04/2022;4197;Sticker;Papua Tengah;5000;10000;5000;1;10000;0
24/05/2022;4329;Sticker;Papua Tengah;5000;10000;5000;1;10000;0
27/01/2022;2994;Sticker;Riau;5000;10000;5000;1;10000;0
25/10/2022;4934;Sticker;Sulawesi Barat;5000;10000;5000;1;10000;0
07/03/2022;3276;Sticker;Sulawesi Selatan;5000;10000;5000;1;10000;0
17/03/2022;1634;Sticker;Sulawesi Selatan;5000;10000;5000;1;10000;0
30/05/2022;1974;Sticker;Sulawesi Selatan;5000;10000;5000;1;10000;0
14/09/2022;4207;Sticker;Sulawesi Selatan;5000;10000;5000;1;10000;0
29/12/2022;1067;Sticker;Sulawesi Selatan;5000;10000;5000;1;10000;0
15/01/2022;1123;Sticker;Sulawesi Tengah;5000;10000;5000;1;10000;0
02/03/2022;4639;Sticker;Sulawesi Tenggara;5000;10000;5000;1;10000;0
30/07/2022;1306;Sticker;Sulawesi Tenggara;5000;10000;5000;1;10000;0
28/04/2022;2245;Sticker;Sulawesi Utara;5000;10000;5000;1;10000;0
10/10/2022;4921;Sticker;Sulawesi Utara;5000;10000;5000;1;10000;0
18/06/2022;1464;Sticker;Sumatera Selatan;5000;10000;5000;1;10000;0
03/06/2022;3611;Sticker;Sumatera Utara;5000;10000;5000;1;10000;0
08/07/2022;4296;Sticker;Sumatera Utara;5000;10000;5000;1;10000;0
12/08/2022;1380;Sticker;Sumatera Utara;5000;10000;5000;1;10000;0
10/11/2022;1747;Sticker;Sumatera Utara;5000;10000;5000;1;10000;0
30/11/2022;1060;Mug;Bali;15000;20000;5000;1;20000;0
08/12/2022;1327;Mug;Bali;15000;20000;5000;1;20000;0
30/03/2022;2770;Mug;Banten;15000;20000;5000;1;20000;0
28/04/2022;1411;Mug;Banten;15000;20000;5000;1;20000;0
21/06/2022;2658;Mug;Banten;15000;20000;5000;1;20000;0
09/07/2022;4993;Mug;Banten;15000;20000;5000;1;20000;0
08/04/2022;1373;Mug;Bengkulu;15000;20000;5000;1;20000;0
02/05/2022;4245;Mug;Bengkulu;15000;20000;5000;1;20000;0
17/05/2022;4648;Mug;Bengkulu;15000;20000;5000;1;20000;0
28/11/2022;3150;Mug;Bengkulu;15000;20000;5000;1;20000;0
30/11/2022;4856;Mug;Bengkulu;15000;20000;5000;1;20000;0
21/12/2022;2333;Mug;Bengkulu;15000;20000;5000;1;20000;0
31/12/2022;4415;Mug;Bengkulu;15000;20000;5000;1;20000;0
06/04/2022;3723;Mug;DKI Jakarta;15000;20000;5000;1;20000;0
23/08/2022;1068;Mug;DKI Jakarta;15000;20000;5000;1;20000;0
05/10/2022;3941;Mug;Daerah Istimewa Yogyakarta;15000;20000;5000;1;20000;0
21/06/2022;3741;Mug;Gorontalo;15000;20000;5000;1;20000;0
26/08/2022;1106;Mug;Gorontalo;15000;20000;5000;1;20000;0
28/10/2022;2531;Mug;Gorontalo;15000;20000;5000;1;20000;0
01/11/2022;4616;Mug;Gorontalo;15000;20000;5000;1;20000;0
07/04/2022;3476;Mug;Jambi;15000;20000;5000;1;20000;0
20/05/2022;1356;Mug;Jambi;15000;20000;5000;1;20000;0
19/06/2022;4246;Mug;Jambi;15000;20000;5000;1;20000;0
13/12/2022;4297;Mug;Jambi;15000;20000;5000;1;20000;0
09/02/2022;1827;Mug;Jawa Tengah;15000;20000;5000;1;20000;0
08/09/2022;2361;Mug;Jawa Tengah;15000;20000;5000;1;20000;0
11/09/2022;4854;Mug;Jawa Tengah;15000;20000;5000;1;20000;0
23/12/2022;1645;Mug;Jawa Tengah;15000;20000;5000;1;20000;0
02/01/2022;3197;Mug;Jawa Timur;15000;20000;5000;1;20000;0
12/09/2022;1450;Mug;Kalimantan Barat;15000;20000;5000;1;20000;0
27/05/2022;1382;Mug;Kalimantan Selatan;15000;20000;5000;1;20000;0
07/07/2022;2635;Mug;Kalimantan Selatan;15000;20000;5000;1;20000;0
17/08/2022;2295;Mug;Kalimantan Selatan;15000;20000;5000;1;20000;0
01/11/2022;2517;Mug;Kalimantan Selatan;15000;20000;5000;1;20000;0
23/11/2022;3672;Mug;Kalimantan Selatan;15000;20000;5000;1;20000;0
12/06/2022;4863;Mug;Kalimantan Tengah;15000;20000;5000;1;20000;0
19/06/2022;3869;Mug;Kalimantan Tengah;15000;20000;5000;1;20000;0
24/01/2022;3395;Mug;Kalimantan Utara;15000;20000;5000;1;20000;0
09/10/2022;4003;Mug;Kalimantan Utara;15000;20000;5000;1;20000;0
20/04/2022;2256;Mug;Kepulauan Riau;15000;20000;5000;1;20000;0
12/10/2022;2081;Mug;Kepulauan Riau;15000;20000;5000;1;20000;0
11/02/2022;2523;Mug;Lampung;15000;20000;5000;1;20000;0
14/07/2022;1744;Mug;Lampung;15000;20000;5000;1;20000;0
13/09/2022;2740;Mug;Lampung;15000;20000;5000;1;20000;0
03/12/2022;3237;Mug;Lampung;15000;20000;5000;1;20000;0
10/09/2022;2324;Mug;Maluku;15000;20000;5000;1;20000;0
03/11/2022;2585;Mug;Maluku;15000;20000;5000;1;20000;0
21/03/2022;2482;Mug;Maluku Utara;15000;20000;5000;1;20000;0
22/07/2022;3575;Mug;Maluku Utara;15000;20000;5000;1;20000;0
23/07/2022;3851;Mug;Maluku Utara;15000;20000;5000;1;20000;0
30/09/2022;1906;Mug;Maluku Utara;15000;20000;5000;1;20000;0
28/08/2022;4677;Mug;Nanggroe Aceh Darussalam;15000;20000;5000;1;20000;0
15/09/2022;4351;Mug;Nanggroe Aceh Darussalam;15000;20000;5000;1;20000;0
13/04/2022;2819;Mug;Nusa Tenggara Barat;15000;20000;5000;1;20000;0
27/09/2022;4664;Mug;Nusa Tenggara Barat;15000;20000;5000;1;20000;0
26/09/2022;1868;Mug;Nusa Tenggara Timur;15000;20000;5000;1;20000;0
07/01/2022;4661;Mug;Papua;15000;20000;5000;1;20000;0
27/02/2022;3005;Mug;Papua;15000;20000;5000;1;20000;0
25/08/2022;2335;Mug;Papua;15000;20000;5000;1;20000;0
17/12/2022;4487;Mug;Papua;15000;20000;5000;1;20000;0
14/12/2022;4346;Mug;Papua Barat;15000;20000;5000;1;20000;0
27/02/2022;1845;Mug;Papua Barat Daya;15000;20000;5000;1;20000;0
28/07/2022;1617;Mug;Papua Barat Daya;15000;20000;5000;1;20000;0
18/09/2022;2339;Mug;Papua Barat Daya;15000;20000;5000;1;20000;0
16/03/2022;4373;Mug;Papua Pegunungan;15000;20000;5000;1;20000;0
31/07/2022;3075;Mug;Papua Pegunungan;15000;20000;5000;1;20000;0
01/09/2022;2728;Mug;Papua Pegunungan;15000;20000;5000;1;20000;0
15/11/2022;4291;Mug;Papua Pegunungan;15000;20000;5000;1;20000;0
20/01/2022;1228;Mug;Papua Selatan;15000;20000;5000;1;20000;0
05/03/2022;1270;Mug;Papua Tengah;15000;20000;5000;1;20000;0
05/03/2022;1273;Mug;Papua Tengah;15000;20000;5000;1;20000;0
07/04/2022;4494;Mug;Papua Tengah;15000;20000;5000;1;20000;0
29/04/2022;4669;Mug;Papua Tengah;15000;20000;5000;1;20000;0
22/05/2022;1452;Mug;Papua Tengah;15000;20000;5000;1;20000;0
30/05/2022;1399;Mug;Papua Tengah;15000;20000;5000;1;20000;0
19/06/2022;4916;Mug;Sulawesi Selatan;15000;20000;5000;1;20000;0
15/08/2022;1278;Mug;Sulawesi Selatan;15000;20000;5000;1;20000;0
28/09/2022;2983;Mug;Sulawesi Selatan;15000;20000;5000;1;20000;0
03/02/2022;3356;Mug;Sulawesi Tengah;15000;20000;5000;1;20000;0
02/07/2022;4163;Mug;Sulawesi Tengah;15000;20000;5000;1;20000;0
25/02/2022;1115;Mug;Sulawesi Tenggara;15000;20000;5000;1;20000;0
22/05/2022;1176;Mug;Sulawesi Tenggara;15000;20000;5000;1;20000;0
31/07/2022;1600;Mug;Sulawesi Tenggara;15000;20000;5000;1;20000;0
08/04/2022;1146;Mug;Sulawesi Utara;15000;20000;5000;1;20000;0
09/04/2022;2953;Mug;Sulawesi Utara;15000;20000;5000;1;20000;0
02/05/2022;1441;Mug;Sulawesi Utara;15000;20000;5000;1;20000;0
17/06/2022;2980;Mug;Sulawesi Utara;15000;20000;5000;1;20000;0
01/02/2022;3057;Mug;Sumatera Barat;15000;20000;5000;1;20000;0
06/03/2022;2795;Mug;Sumatera Barat;15000;20000;5000;1;20000;0
17/05/2022;3888;Mug;Sumatera Barat;15000;20000;5000;1;20000;0
02/07/2022;3514;Mug;Sumatera Barat;15000;20000;5000;1;20000;0
07/07/2022;4767;Mug;Sumatera Barat;15000;20000;5000;1;20000;0
16/02/2022;4673;Mug;Sumatera Selatan;15000;20000;5000;1;20000;0
31/03/2022;2643;Mug;Sumatera Selatan;15000;20000;5000;1;20000;0
09/09/2022;3386;Mug;Sumatera Selatan;15000;20000;5000;1;20000;0
09/02/2022;2886;Mug;Sumatera Utara;15000;20000;5000;1;20000;0
16/02/2022;4304;Mug;Sumatera Utara;15000;20000;5000;1;20000;0
07/01/2022;1038;Totebag;Bangka Belitung;20000;25000;5000;1;25000;0
07/04/2022;4431;Totebag;Bangka Belitung;20000;25000;5000;1;25000;0
19/11/2022;4584;Totebag;Bangka Belitung;20000;25000;5000;1;25000;0
12/10/2022;3804;Totebag;Banten;20000;25000;5000;1;25000;0
18/11/2022;2128;Totebag;Banten;20000;25000;5000;1;25000;0
21/01/2022;1130;Totebag;Bengkulu;20000;25000;5000;1;25000;0
27/03/2022;3747;Totebag;Bengkulu;20000;25000;5000;1;25000;0
17/05/2022;1554;Totebag;Bengkulu;20000;25000;5000;1;25000;0
05/01/2022;3301;Totebag;DKI Jakarta;20000;25000;5000;1;25000;0
17/01/2022;3207;Totebag;DKI Jakarta;20000;25000;5000;1;25000;0
29/01/2022;3987;Totebag;DKI Jakarta;20000;25000;5000;1;25000;0
01/02/2022;1553;Totebag;DKI Jakarta;20000;25000;5000;1;25000;0
06/03/2022;3426;Totebag;DKI Jakarta;20000;25000;5000;1;25000;0
28/04/2022;3534;Totebag;DKI Jakarta;20000;25000;5000;1;25000;0
15/06/2022;2805;Totebag;DKI Jakarta;20000;25000;5000;1;25000;0
27/12/2022;2052;Totebag;Daerah Istimewa Yogyakarta;20000;25000;5000;1;25000;0
02/06/2022;2746;Totebag;Gorontalo;20000;25000;5000;1;25000;0
09/08/2022;3045;Totebag;Gorontalo;20000;25000;5000;1;25000;0
15/08/2022;2850;Totebag;Gorontalo;20000;25000;5000;1;25000;0
02/08/2022;4851;Totebag;Jambi;20000;25000;5000;1;25000;0
11/08/2022;4492;Totebag;Jambi;20000;25000;5000;1;25000;0
06/09/2022;2508;Totebag;Jambi;20000;25000;5000;1;25000;0
18/12/2022;2473;Totebag;Jambi;20000;25000;5000;1;25000;0
19/02/2022;3738;Totebag;Jawa Barat;20000;25000;5000;1;25000;0
06/04/2022;1819;Totebag;Jawa Barat;20000;25000;5000;1;25000;0
15/04/2022;4499;Totebag;Jawa Barat;20000;25000;5000;1;25000;0
07/02/2022;2073;Totebag;Jawa Tengah;20000;25000;5000;1;25000;0
13/02/2022;4672;Totebag;Jawa Tengah;20000;25000;5000;1;25000;0
14/02/2022;1947;Totebag;Jawa Tengah;20000;25000;5000;1;25000;0
13/03/2022;2197;Totebag;Jawa Tengah;20000;25000;5000;1;25000;0
24/10/2022;2901;Totebag;Jawa Tengah;20000;25000;5000;1;25000;0
16/11/2022;3082;Totebag;Jawa Tengah;20000;25000;5000;1;25000;0
23/11/2022;1911;Totebag;Jawa Tengah;20000;25000;5000;1;25000;0
24/12/2022;4660;Totebag;Jawa Tengah;20000;25000;5000;1;25000;0
19/08/2022;1763;Totebag;Jawa Timur;20000;25000;5000;1;25000;0
14/09/2022;4814;Totebag;Jawa Timur;20000;25000;5000;1;25000;0
30/11/2022;2598;Totebag;Jawa Timur;20000;25000;5000;1;25000;0
03/04/2022;1001;Totebag;Kalimantan Barat;20000;25000;5000;1;25000;0
20/02/2022;1923;Totebag;Kalimantan Selatan;20000;25000;5000;1;25000;0
11/01/2022;4553;Totebag;Kalimantan Tengah;20000;25000;5000;1;25000;0
19/02/2022;3022;Totebag;Kalimantan Tengah;20000;25000;5000;1;25000;0
10/04/2022;1125;Totebag;Kalimantan Tengah;20000;25000;5000;1;25000;0
30/06/2022;2236;Totebag;Kalimantan Timur;20000;25000;5000;1;25000;0
02/10/2022;1363;Totebag;Kalimantan Timur;20000;25000;5000;1;25000;0
31/08/2022;1070;Totebag;Kalimantan Utara;20000;25000;5000;1;25000;0
14/10/2022;4199;Totebag;Kalimantan Utara;20000;25000;5000;1;25000;0
14/02/2022;1469;Totebag;Kepulauan Riau;20000;25000;5000;1;25000;0
15/03/2022;1283;Totebag;Kepulauan Riau;20000;25000;5000;1;25000;0
05/08/2022;3217;Totebag;Lampung;20000;25000;5000;1;25000;0
14/08/2022;2538;Totebag;Lampung;20000;25000;5000;1;25000;0
16/09/2022;4860;Totebag;Lampung;20000;25000;5000;1;25000;0
02/02/2022;3346;Totebag;Maluku;20000;25000;5000;1;25000;0
03/04/2022;4426;Totebag;Nanggroe Aceh Darussalam;20000;25000;5000;1;25000;0
22/06/2022;2505;Totebag;Nanggroe Aceh Darussalam;20000;25000;5000;1;25000;0
28/06/2022;3157;Totebag;Nusa Tenggara Barat;20000;25000;5000;1;25000;0
18/05/2022;3589;Totebag;Nusa Tenggara Timur;20000;25000;5000;1;25000;0
05/12/2022;1109;Totebag;Nusa Tenggara Timur;20000;25000;5000;1;25000;0
18/12/2022;1009;Totebag;Nusa Tenggara Timur;20000;25000;5000;1;25000;0
06/06/2022;3300;Totebag;Papua;20000;25000;5000;1;25000;0
29/05/2022;1523;Totebag;Papua Barat;20000;25000;5000;1;25000;0
27/06/2022;4473;Totebag;Papua Barat;20000;25000;5000;1;25000;0
02/10/2022;2370;Totebag;Papua Barat;20000;25000;5000;1;25000;0
19/12/2022;3893;Totebag;Papua Barat;20000;25000;5000;1;25000;0
21/01/2022;4957;Totebag;Papua Barat Daya;20000;25000;5000;1;25000;0
21/05/2022;3649;Totebag;Papua Barat Daya;20000;25000;5000;1;25000;0
30/08/2022;1835;Totebag;Papua Pegunungan;20000;25000;5000;1;25000;0
22/11/2022;1630;Totebag;Papua Pegunungan;20000;25000;5000;1;25000;0
16/01/2022;4729;Totebag;Papua Selatan;20000;25000;5000;1;25000;0
14/10/2022;2342;Totebag;Papua Tengah;20000;25000;5000;1;25000;0
04/11/2022;2424;Totebag;Papua Tengah;20000;25000;5000;1;25000;0
04/01/2022;2763;Totebag;Sulawesi Barat;20000;25000;5000;1;25000;0
03/07/2022;1710;Totebag;Sulawesi Barat;20000;25000;5000;1;25000;0
18/10/2022;2284;Totebag;Sulawesi Barat;20000;25000;5000;1;25000;0
11/04/2022;2343;Totebag;Sulawesi Selatan;20000;25000;5000;1;25000;0
01/06/2022;3654;Totebag;Sulawesi Selatan;20000;25000;5000;1;25000;0
02/08/2022;4288;Totebag;Sulawesi Selatan;20000;25000;5000;1;25000;0
13/10/2022;1782;Totebag;Sulawesi Tengah;20000;25000;5000;1;25000;0
17/05/2022;1180;Totebag;Sulawesi Tenggara;20000;25000;5000;1;25000;0
08/02/2022;4585;Totebag;Sulawesi Utara;20000;25000;5000;1;25000;0
04/07/2022;1571;Totebag;Sulawesi Utara;20000;25000;5000;1;25000;0
20/01/2022;1978;Totebag;Sumatera Barat;20000;25000;5000;1;25000;0
09/12/2022;3894;Totebag;Sumatera Barat;20000;25000;5000;1;25000;0
15/02/2022;2320;Totebag;Sumatera Selatan;20000;25000;5000;1;25000;0
23/04/2022;3986;Totebag;Sumatera Selatan;20000;25000;5000;1;25000;0
14/06/2022;3470;Totebag;Sumatera Selatan;20000;25000;5000;1;25000;0
01/08/2022;4524;Totebag;Sumatera Selatan;20000;25000;5000;1;25000;0
13/10/2022;4629;Totebag;Sumatera Selatan;20000;25000;5000;1;25000;0
01/03/2022;3414;Totebag;Sumatera Utara;20000;25000;5000;1;25000;0
05/01/2022;4347;Buku Soal OMITS SD;Bali;35000;50000;15000;1;50000;0
20/03/2022;3422;Buku Soal OMITS SD;Bali;35000;50000;15000;1;50000;0
06/09/2022;3068;Buku Soal OMITS SD;Bali;35000;50000;15000;1;50000;0
28/10/2022;1033;Buku Soal OMITS SD;Bali;35000;50000;15000;1;50000;0
24/11/2022;4810;Buku Soal OMITS SD;Bali;35000;50000;15000;1;50000;0
13/01/2022;4256;Buku Soal OMITS SD;Bangka Belitung;35000;50000;15000;1;50000;0
19/03/2022;1217;Buku Soal OMITS SD;Bangka Belitung;35000;50000;15000;1;50000;0
13/01/2022;2061;Buku Soal OMITS SD;Banten;35000;50000;15000;1;50000;0
23/07/2022;1880;Buku Soal OMITS SD;Banten;35000;50000;15000;1;50000;0
26/05/2022;3959;Buku Soal OMITS SD;Bengkulu;35000;50000;15000;1;50000;0
20/08/2022;1390;Buku Soal OMITS SD;DKI Jakarta;35000;50000;15000;1;50000;0
12/09/2022;3540;Buku Soal OMITS SD;Jambi;35000;50000;15000;1;50000;0
22/08/2022;4330;Buku Soal OMITS SD;Jawa Barat;35000;50000;15000;1;50000;0
24/11/2022;1112;Buku Soal OMITS SD;Jawa Barat;35000;50000;15000;1;50000;0
19/09/2022;1159;Buku Soal OMITS SD;Jawa Tengah;35000;50000;15000;1;50000;0
21/09/2022;2679;Buku Soal OMITS SD;Jawa Tengah;35000;50000;15000;1;50000;0
21/10/2022;3876;Buku Soal OMITS SD;Jawa Tengah;35000;50000;15000;1;50000;0
04/03/2022;3684;Buku Soal OMITS SD;Kalimantan Barat;35000;50000;15000;1;50000;0
22/05/2022;1511;Buku Soal OMITS SD;Kalimantan Barat;35000;50000;15000;1;50000;0
23/05/2022;1178;Buku Soal OMITS SD;Kalimantan Barat;35000;50000;15000;1;50000;0
17/06/2022;2411;Buku Soal OMITS SD;Kalimantan Barat;35000;50000;15000;1;50000;0
23/01/2022;4284;Buku Soal OMITS SD;Kalimantan Tengah;35000;50000;15000;1;50000;0
30/01/2022;1642;Buku Soal OMITS SD;Kalimantan Tengah;35000;50000;15000;1;50000;0
16/03/2022;3890;Buku Soal OMITS SD;Kalimantan Tengah;35000;50000;15000;1;50000;0
19/06/2022;1890;Buku Soal OMITS SD;Kalimantan Tengah;35000;50000;15000;1;50000;0
21/04/2022;3982;Buku Soal OMITS SD;Kalimantan Timur;35000;50000;15000;1;50000;0
31/03/2022;1623;Buku Soal OMITS SD;Kalimantan Utara;35000;50000;15000;1;50000;0
01/06/2022;4382;Buku Soal OMITS SD;Kalimantan Utara;35000;50000;15000;1;50000;0
22/12/2022;3345;Buku Soal OMITS SD;Kalimantan Utara;35000;50000;15000;1;50000;0
23/01/2022;2386;Buku Soal OMITS SD;Kepulauan Riau;35000;50000;15000;1;50000;0
17/05/2022;1142;Buku Soal OMITS SD;Kepulauan Riau;35000;50000;15000;1;50000;0
21/08/2022;3498;Buku Soal OMITS SD;Kepulauan Riau;35000;50000;15000;1;50000;0
15/12/2022;4874;Buku Soal OMITS SD;Kepulauan Riau;35000;50000;15000;1;50000;0
01/01/2022;4269;Buku Soal OMITS SD;Lampung;35000;50000;15000;1;50000;0
22/01/2022;4688;Buku Soal OMITS SD;Maluku;35000;50000;15000;1;50000;0
04/04/2022;3971;Buku Soal OMITS SD;Maluku;35000;50000;15000;1;50000;0
21/04/2022;3985;Buku Soal OMITS SD;Maluku;35000;50000;15000;1;50000;0
17/05/2022;3806;Buku Soal OMITS SD;Maluku Utara;35000;50000;15000;1;50000;0
29/09/2022;2970;Buku Soal OMITS SD;Maluku Utara;35000;50000;15000;1;50000;0
12/10/2022;3236;Buku Soal OMITS SD;Maluku Utara;35000;50000;15000;1;50000;0
